evidence_type,identifier,status,valid,method_count,last_validated,failure_count,verifier_id,verifier_version,checksum_root,evaluated_at
ksi,KSI-CED-01,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-CED-03,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-CMT-01,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-CMT-03,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-CMT-04,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-CNA-01,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-CNA-05,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-CNA-08,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-IAM-05,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-IAM-07,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-INR-01,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-MLA-03,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-MLA-07,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-MLA-08,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-PIY-01,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-PIY-02,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-PIY-04,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-PIY-06,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-RCP-01,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-RCP-02,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-RCP-03,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-RCP-04,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-SVC-01,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-SVC-03,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-SVC-04,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-SVC-05,unverifiable,,2,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-SVC-08,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-SVC-09,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-SVC-10,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-TPR-01,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
ksi,KSI-TPR-02,unverifiable,,0,2026-09-21T12:44:19Z,,,,,2026-09-21T12:44:19Z
